id,fiscal_id,insert_date,cheque_date,store_name,buy_amount,cash_amount,cashless_amount,vat_amount,refund_amount,state,channel_type,cheque_status_message,with_card,card_cashback_amount
1874933250,8tWUpgfcAVpF,2025-06-22T16:13:52Z,2025-06-22T16:08:50Z,ARAZ MARKET,30.15,0.00,30.15,4.60,0.81,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1871830430,GVz3NpWDwY3t,2025-06-19T21:35:50Z,2025-06-19T21:25:33Z,ARAZ MARKET,18.16,0.00,18.16,1.13,0.20,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1869606876,HdyAPpxAS8tN,2025-06-17T21:51:59Z,2025-06-17T21:48:01Z,ARAZ MARKET,22.97,0.00,22.97,3.06,0.54,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1868483887,9nFeue7y3EFh,2025-06-16T21:46:55Z,2025-06-16T21:40:17Z,ARAZ MARKET,9.20,0.00,9.20,1.40,0.25,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1868015370,3g2tAvZFto4h,2025-06-16T15:27:18Z,2025-06-16T15:26:35Z,GRAND MARKET,19.64,0.00,19.64,3.00,0.53,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1865105870,AiaPxiFxcWZF,2025-06-13T23:13:54Z,2025-06-13T23:06:52Z,ARAZ MARKET,39.94,0.00,39.94,3.58,0.63,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1861630862,J7vwEWsHqgJP,2025-06-10T21:32:27Z,2025-06-10T21:19:28Z,ARAZ MARKET,50.99,0.00,50.99,4.99,0.87,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1860147594,H5Vt54Wcp5Zy,2025-06-09T17:27:41Z,2025-06-09T17:27:06Z,BRAVO,10.08,0.00,10.08,1.54,0.27,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1857795489,8qRnH4am48R2,2025-06-07T16:59:36Z,2025-06-07T16:52:08Z,ARAZ MARKET,3.61,0.00,3.61,0.35,0.06,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1857795422,5eR6Q1uppcLg,2025-06-07T16:59:30Z,,Mağaza,,,,,,FAIL,AUTOREFUND,"Daxil etdiyiniz çeki aldığınız təsərrüfat obyektinin fəaliyyəti ƏDV-nin geri qaytarılmasına 
 əsas verən pərakəndə ticarət və ya ictimai iaşə sahəsinə uyğun deyil.
 Əlavə məlumat almaq üçün çeki təqdim etmiş vergi ödəyicisinə müraciət edə bilərsiniz.",WITHOUT_EDV_CARD,0.00
1855815412,8w9zBcGxCh3j,2025-06-05T21:50:54Z,2025-06-05T21:44:46Z,BRAVO 28 MALL,27.09,0.00,15.79,4.13,0.42,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1850553503,7Dtzs6HZM8hK,2025-06-01T16:48:52Z,2025-06-01T15:58:58Z,GRAND MARKET,57.03,0.00,57.03,7.29,1.28,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
